datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
1/5/2025 8:00:00 PM,1/5/2025 3:00:00 PM,RTO,2635.870
1/5/2025 9:00:00 PM,1/5/2025 4:00:00 PM,RTO,2857.648
1/5/2025 10:00:00 PM,1/5/2025 5:00:00 PM,RTO,3981.632
1/5/2025 11:00:00 PM,1/5/2025 6:00:00 PM,RTO,4466.192
1/6/2025 12:00:00 AM,1/5/2025 7:00:00 PM,RTO,3756.502
1/6/2025 1:00:00 AM,1/5/2025 8:00:00 PM,RTO,4132.571
1/6/2025 2:00:00 AM,1/5/2025 9:00:00 PM,RTO,5207.710
1/6/2025 3:00:00 AM,1/5/2025 10:00:00 PM,RTO,5625.270
1/6/2025 4:00:00 AM,1/5/2025 11:00:00 PM,RTO,6074.461
1/6/2025 5:00:00 AM,1/6/2025 12:00:00 AM,RTO,6969.726
1/6/2025 6:00:00 AM,1/6/2025 1:00:00 AM,RTO,7172.197
1/6/2025 7:00:00 AM,1/6/2025 2:00:00 AM,RTO,7376.097
1/6/2025 8:00:00 AM,1/6/2025 3:00:00 AM,RTO,7570.608
1/6/2025 9:00:00 AM,1/6/2025 4:00:00 AM,RTO,7550.746
1/6/2025 10:00:00 AM,1/6/2025 5:00:00 AM,RTO,7259.995
1/6/2025 11:00:00 AM,1/6/2025 6:00:00 AM,RTO,7408.578
1/6/2025 12:00:00 PM,1/6/2025 7:00:00 AM,RTO,7271.517
1/6/2025 1:00:00 PM,1/6/2025 8:00:00 AM,RTO,6714.760
1/6/2025 2:00:00 PM,1/6/2025 9:00:00 AM,RTO,6501.409
1/6/2025 3:00:00 PM,1/6/2025 10:00:00 AM,RTO,6400.857
1/6/2025 4:00:00 PM,1/6/2025 11:00:00 AM,RTO,6470.664
1/6/2025 5:00:00 PM,1/6/2025 12:00:00 PM,RTO,6262.562
1/6/2025 6:00:00 PM,1/6/2025 1:00:00 PM,RTO,5880.224
1/6/2025 7:00:00 PM,1/6/2025 2:00:00 PM,RTO,5537.764
1/6/2025 8:00:00 PM,1/6/2025 3:00:00 PM,RTO,4970.614
1/6/2025 9:00:00 PM,1/6/2025 4:00:00 PM,RTO,5077.367
1/6/2025 10:00:00 PM,1/6/2025 5:00:00 PM,RTO,5345.840
1/6/2025 11:00:00 PM,1/6/2025 6:00:00 PM,RTO,5718.326
1/7/2025 12:00:00 AM,1/6/2025 7:00:00 PM,RTO,5881.120
1/7/2025 1:00:00 AM,1/6/2025 8:00:00 PM,RTO,5647.545
1/7/2025 2:00:00 AM,1/6/2025 9:00:00 PM,RTO,5008.110
1/7/2025 3:00:00 AM,1/6/2025 10:00:00 PM,RTO,4314.293
1/7/2025 4:00:00 AM,1/6/2025 11:00:00 PM,RTO,3748.367
1/7/2025 5:00:00 AM,1/7/2025 12:00:00 AM,RTO,3528.225
1/7/2025 6:00:00 AM,1/7/2025 1:00:00 AM,RTO,3490.206
1/7/2025 7:00:00 AM,1/7/2025 2:00:00 AM,RTO,3258.639
1/7/2025 8:00:00 AM,1/7/2025 3:00:00 AM,RTO,3358.690
1/7/2025 9:00:00 AM,1/7/2025 4:00:00 AM,RTO,3314.160
1/7/2025 10:00:00 AM,1/7/2025 5:00:00 AM,RTO,3045.176
1/7/2025 11:00:00 AM,1/7/2025 6:00:00 AM,RTO,2994.586
1/7/2025 12:00:00 PM,1/7/2025 7:00:00 AM,RTO,3148.363
1/7/2025 1:00:00 PM,1/7/2025 8:00:00 AM,RTO,3302.250
1/7/2025 2:00:00 PM,1/7/2025 9:00:00 AM,RTO,3267.442
1/7/2025 3:00:00 PM,1/7/2025 10:00:00 AM,RTO,3157.505
1/7/2025 4:00:00 PM,1/7/2025 11:00:00 AM,RTO,3096.888
1/7/2025 5:00:00 PM,1/7/2025 12:00:00 PM,RTO,3039.573
1/7/2025 6:00:00 PM,1/7/2025 1:00:00 PM,RTO,3074.468
1/7/2025 7:00:00 PM,1/7/2025 2:00:00 PM,RTO,3047.518
1/7/2025 8:00:00 PM,1/7/2025 3:00:00 PM,RTO,2920.097
1/7/2025 9:00:00 PM,1/7/2025 4:00:00 PM,RTO,2723.437
1/7/2025 10:00:00 PM,1/7/2025 5:00:00 PM,RTO,2716.639
1/7/2025 11:00:00 PM,1/7/2025 6:00:00 PM,RTO,2841.093
1/8/2025 12:00:00 AM,1/7/2025 7:00:00 PM,RTO,3033.287
1/8/2025 1:00:00 AM,1/7/2025 8:00:00 PM,RTO,3066.054
1/8/2025 2:00:00 AM,1/7/2025 9:00:00 PM,RTO,3207.665
1/8/2025 3:00:00 AM,1/7/2025 10:00:00 PM,RTO,3344.014
1/8/2025 4:00:00 AM,1/7/2025 11:00:00 PM,RTO,3150.695
1/8/2025 5:00:00 AM,1/8/2025 12:00:00 AM,RTO,2834.088
1/8/2025 6:00:00 AM,1/8/2025 1:00:00 AM,RTO,2748.441
1/8/2025 7:00:00 AM,1/8/2025 2:00:00 AM,RTO,2618.570
1/8/2025 8:00:00 AM,1/8/2025 3:00:00 AM,RTO,2537.082
1/8/2025 9:00:00 AM,1/8/2025 4:00:00 AM,RTO,2438.598
1/8/2025 10:00:00 AM,1/8/2025 5:00:00 AM,RTO,2301.855
1/8/2025 11:00:00 AM,1/8/2025 6:00:00 AM,RTO,2498.200
1/8/2025 12:00:00 PM,1/8/2025 7:00:00 AM,RTO,2779.230
1/8/2025 1:00:00 PM,1/8/2025 8:00:00 AM,RTO,3043.168
1/8/2025 2:00:00 PM,1/8/2025 9:00:00 AM,RTO,2783.894
1/8/2025 3:00:00 PM,1/8/2025 10:00:00 AM,RTO,2320.825
1/8/2025 4:00:00 PM,1/8/2025 11:00:00 AM,RTO,2425.599
1/8/2025 5:00:00 PM,1/8/2025 12:00:00 PM,RTO,2925.004
1/8/2025 6:00:00 PM,1/8/2025 1:00:00 PM,RTO,3502.527
1/8/2025 7:00:00 PM,1/8/2025 2:00:00 PM,RTO,3796.938
1/8/2025 8:00:00 PM,1/8/2025 3:00:00 PM,RTO,3797.106
1/8/2025 9:00:00 PM,1/8/2025 4:00:00 PM,RTO,3713.214
1/8/2025 10:00:00 PM,1/8/2025 5:00:00 PM,RTO,3538.461
1/8/2025 11:00:00 PM,1/8/2025 6:00:00 PM,RTO,3576.112
1/9/2025 12:00:00 AM,1/8/2025 7:00:00 PM,RTO,3772.129
1/9/2025 1:00:00 AM,1/8/2025 8:00:00 PM,RTO,3750.447
1/9/2025 2:00:00 AM,1/8/2025 9:00:00 PM,RTO,3832.903
1/9/2025 3:00:00 AM,1/8/2025 10:00:00 PM,RTO,3923.124
1/9/2025 4:00:00 AM,1/8/2025 11:00:00 PM,RTO,3911.511
1/9/2025 5:00:00 AM,1/9/2025 12:00:00 AM,RTO,3814.324
1/9/2025 6:00:00 AM,1/9/2025 1:00:00 AM,RTO,3898.816
1/9/2025 7:00:00 AM,1/9/2025 2:00:00 AM,RTO,3729.111
1/9/2025 8:00:00 AM,1/9/2025 3:00:00 AM,RTO,3408.948
1/9/2025 9:00:00 AM,1/9/2025 4:00:00 AM,RTO,2918.859
1/9/2025 10:00:00 AM,1/9/2025 5:00:00 AM,RTO,2638.349
1/9/2025 11:00:00 AM,1/9/2025 6:00:00 AM,RTO,2346.791
1/9/2025 12:00:00 PM,1/9/2025 7:00:00 AM,RTO,2442.957
1/9/2025 1:00:00 PM,1/9/2025 8:00:00 AM,RTO,2989.799
1/9/2025 2:00:00 PM,1/9/2025 9:00:00 AM,RTO,3346.500
1/9/2025 3:00:00 PM,1/9/2025 10:00:00 AM,RTO,3421.223
1/9/2025 4:00:00 PM,1/9/2025 11:00:00 AM,RTO,3448.728
1/9/2025 5:00:00 PM,1/9/2025 12:00:00 PM,RTO,3846.592
1/9/2025 6:00:00 PM,1/9/2025 1:00:00 PM,RTO,4479.174
1/9/2025 7:00:00 PM,1/9/2025 2:00:00 PM,RTO,5250.653
1/9/2025 8:00:00 PM,1/9/2025 3:00:00 PM,RTO,4546.280
1/9/2025 9:00:00 PM,1/9/2025 4:00:00 PM,RTO,4396.749
1/9/2025 10:00:00 PM,1/9/2025 5:00:00 PM,RTO,5537.303
1/9/2025 11:00:00 PM,1/9/2025 6:00:00 PM,RTO,5943.352
1/10/2025 12:00:00 AM,1/9/2025 7:00:00 PM,RTO,6529.162
1/10/2025 1:00:00 AM,1/9/2025 8:00:00 PM,RTO,6998.885
1/10/2025 2:00:00 AM,1/9/2025 9:00:00 PM,RTO,7559.615
1/10/2025 3:00:00 AM,1/9/2025 10:00:00 PM,RTO,7019.639
1/10/2025 4:00:00 AM,1/9/2025 11:00:00 PM,RTO,6592.321
1/10/2025 5:00:00 AM,1/10/2025 12:00:00 AM,RTO,6533.315
1/10/2025 6:00:00 AM,1/10/2025 1:00:00 AM,RTO,6139.276
1/10/2025 7:00:00 AM,1/10/2025 2:00:00 AM,RTO,5913.332
1/10/2025 8:00:00 AM,1/10/2025 3:00:00 AM,RTO,4741.537
1/10/2025 9:00:00 AM,1/10/2025 4:00:00 AM,RTO,3591.154
1/10/2025 10:00:00 AM,1/10/2025 5:00:00 AM,RTO,3278.418
1/10/2025 11:00:00 AM,1/10/2025 6:00:00 AM,RTO,3133.820
1/10/2025 12:00:00 PM,1/10/2025 7:00:00 AM,RTO,2951.949
1/10/2025 1:00:00 PM,1/10/2025 8:00:00 AM,RTO,3173.735
1/10/2025 2:00:00 PM,1/10/2025 9:00:00 AM,RTO,2521.781
1/10/2025 3:00:00 PM,1/10/2025 10:00:00 AM,RTO,2114.359
1/10/2025 4:00:00 PM,1/10/2025 11:00:00 AM,RTO,1945.025
1/10/2025 5:00:00 PM,1/10/2025 12:00:00 PM,RTO,2017.924
1/10/2025 6:00:00 PM,1/10/2025 1:00:00 PM,RTO,1697.633
1/10/2025 7:00:00 PM,1/10/2025 2:00:00 PM,RTO,1445.471
1/10/2025 8:00:00 PM,1/10/2025 3:00:00 PM,RTO,1156.218
1/10/2025 9:00:00 PM,1/10/2025 4:00:00 PM,RTO,1125.129
1/10/2025 10:00:00 PM,1/10/2025 5:00:00 PM,RTO,1335.377
1/10/2025 11:00:00 PM,1/10/2025 6:00:00 PM,RTO,1513.654
1/11/2025 12:00:00 AM,1/10/2025 7:00:00 PM,RTO,1872.089
1/11/2025 1:00:00 AM,1/10/2025 8:00:00 PM,RTO,1995.524
1/11/2025 2:00:00 AM,1/10/2025 9:00:00 PM,RTO,2037.862
1/11/2025 3:00:00 AM,1/10/2025 10:00:00 PM,RTO,2378.839
1/11/2025 4:00:00 AM,1/10/2025 11:00:00 PM,RTO,2565.533
1/11/2025 5:00:00 AM,1/11/2025 12:00:00 AM,RTO,2858.663
1/11/2025 6:00:00 AM,1/11/2025 1:00:00 AM,RTO,3083.376
1/11/2025 7:00:00 AM,1/11/2025 2:00:00 AM,RTO,3460.051
1/11/2025 8:00:00 AM,1/11/2025 3:00:00 AM,RTO,3863.281
1/11/2025 9:00:00 AM,1/11/2025 4:00:00 AM,RTO,4399.821
1/11/2025 10:00:00 AM,1/11/2025 5:00:00 AM,RTO,4820.300
1/11/2025 11:00:00 AM,1/11/2025 6:00:00 AM,RTO,4761.439
1/11/2025 12:00:00 PM,1/11/2025 7:00:00 AM,RTO,4329.052
1/11/2025 1:00:00 PM,1/11/2025 8:00:00 AM,RTO,3909.876
1/11/2025 2:00:00 PM,1/11/2025 9:00:00 AM,RTO,3324.597
1/11/2025 3:00:00 PM,1/11/2025 10:00:00 AM,RTO,2856.923
1/11/2025 4:00:00 PM,1/11/2025 11:00:00 AM,RTO,2939.941
1/11/2025 5:00:00 PM,1/11/2025 12:00:00 PM,RTO,2925.503
1/11/2025 6:00:00 PM,1/11/2025 1:00:00 PM,RTO,2894.887
1/11/2025 7:00:00 PM,1/11/2025 2:00:00 PM,RTO,2916.393
1/11/2025 8:00:00 PM,1/11/2025 3:00:00 PM,RTO,2953.764
1/11/2025 9:00:00 PM,1/11/2025 4:00:00 PM,RTO,2897.593
1/11/2025 10:00:00 PM,1/11/2025 5:00:00 PM,RTO,3201.295
1/11/2025 11:00:00 PM,1/11/2025 6:00:00 PM,RTO,3870.918
1/12/2025 12:00:00 AM,1/11/2025 7:00:00 PM,RTO,4698.333
1/12/2025 1:00:00 AM,1/11/2025 8:00:00 PM,RTO,5132.517
1/12/2025 2:00:00 AM,1/11/2025 9:00:00 PM,RTO,5433.227
1/12/2025 3:00:00 AM,1/11/2025 10:00:00 PM,RTO,5708.949
1/12/2025 4:00:00 AM,1/11/2025 11:00:00 PM,RTO,6136.298
1/12/2025 5:00:00 AM,1/12/2025 12:00:00 AM,RTO,6390.727
1/12/2025 6:00:00 AM,1/12/2025 1:00:00 AM,RTO,6394.889
1/12/2025 7:00:00 AM,1/12/2025 2:00:00 AM,RTO,6167.418
1/12/2025 8:00:00 AM,1/12/2025 3:00:00 AM,RTO,5908.524
1/12/2025 9:00:00 AM,1/12/2025 4:00:00 AM,RTO,5377.246
1/12/2025 10:00:00 AM,1/12/2025 5:00:00 AM,RTO,5114.755
1/12/2025 11:00:00 AM,1/12/2025 6:00:00 AM,RTO,5709.647
1/12/2025 12:00:00 PM,1/12/2025 7:00:00 AM,RTO,5512.007
1/12/2025 1:00:00 PM,1/12/2025 8:00:00 AM,RTO,6014.825
1/12/2025 2:00:00 PM,1/12/2025 9:00:00 AM,RTO,6213.039
1/12/2025 3:00:00 PM,1/12/2025 10:00:00 AM,RTO,6195.710
1/12/2025 4:00:00 PM,1/12/2025 11:00:00 AM,RTO,6210.005
1/12/2025 5:00:00 PM,1/12/2025 12:00:00 PM,RTO,6417.612
1/12/2025 6:00:00 PM,1/12/2025 1:00:00 PM,RTO,6640.055
1/12/2025 7:00:00 PM,1/12/2025 2:00:00 PM,RTO,6767.511
1/12/2025 8:00:00 PM,1/12/2025 3:00:00 PM,RTO,6901.264
1/12/2025 9:00:00 PM,1/12/2025 4:00:00 PM,RTO,7141.557
1/12/2025 10:00:00 PM,1/12/2025 5:00:00 PM,RTO,6833.735
1/12/2025 11:00:00 PM,1/12/2025 6:00:00 PM,RTO,6982.786
1/13/2025 12:00:00 AM,1/12/2025 7:00:00 PM,RTO,7206.685
1/13/2025 1:00:00 AM,1/12/2025 8:00:00 PM,RTO,7617.585
1/13/2025 2:00:00 AM,1/12/2025 9:00:00 PM,RTO,7636.596
1/13/2025 3:00:00 AM,1/12/2025 10:00:00 PM,RTO,7567.247
1/13/2025 4:00:00 AM,1/12/2025 11:00:00 PM,RTO,7885.501
1/13/2025 5:00:00 AM,1/13/2025 12:00:00 AM,RTO,8195.791
1/13/2025 6:00:00 AM,1/13/2025 1:00:00 AM,RTO,8322.656
1/13/2025 7:00:00 AM,1/13/2025 2:00:00 AM,RTO,8357.091
1/13/2025 8:00:00 AM,1/13/2025 3:00:00 AM,RTO,8097.599
1/13/2025 9:00:00 AM,1/13/2025 4:00:00 AM,RTO,7815.719
1/13/2025 10:00:00 AM,1/13/2025 5:00:00 AM,RTO,7961.274
1/13/2025 11:00:00 AM,1/13/2025 6:00:00 AM,RTO,7858.248
1/13/2025 12:00:00 PM,1/13/2025 7:00:00 AM,RTO,7944.468
1/13/2025 1:00:00 PM,1/13/2025 8:00:00 AM,RTO,7816.902
1/13/2025 2:00:00 PM,1/13/2025 9:00:00 AM,RTO,7590.215
1/13/2025 3:00:00 PM,1/13/2025 10:00:00 AM,RTO,7603.917
1/13/2025 4:00:00 PM,1/13/2025 11:00:00 AM,RTO,7484.500
1/13/2025 5:00:00 PM,1/13/2025 12:00:00 PM,RTO,7501.251
1/13/2025 6:00:00 PM,1/13/2025 1:00:00 PM,RTO,7465.077
1/13/2025 7:00:00 PM,1/13/2025 2:00:00 PM,RTO,7527.683
1/13/2025 8:00:00 PM,1/13/2025 3:00:00 PM,RTO,7093.503
1/13/2025 9:00:00 PM,1/13/2025 4:00:00 PM,RTO,6224.470
1/13/2025 10:00:00 PM,1/13/2025 5:00:00 PM,RTO,5192.234
1/13/2025 11:00:00 PM,1/13/2025 6:00:00 PM,RTO,4920.486
1/14/2025 12:00:00 AM,1/13/2025 7:00:00 PM,RTO,5508.585
1/14/2025 1:00:00 AM,1/13/2025 8:00:00 PM,RTO,6002.324
1/14/2025 2:00:00 AM,1/13/2025 9:00:00 PM,RTO,6511.174
1/14/2025 3:00:00 AM,1/13/2025 10:00:00 PM,RTO,6948.074
1/14/2025 4:00:00 AM,1/13/2025 11:00:00 PM,RTO,7106.517
1/14/2025 5:00:00 AM,1/14/2025 12:00:00 AM,RTO,6965.553
1/14/2025 6:00:00 AM,1/14/2025 1:00:00 AM,RTO,6487.194
1/14/2025 7:00:00 AM,1/14/2025 2:00:00 AM,RTO,5305.141
1/14/2025 8:00:00 AM,1/14/2025 3:00:00 AM,RTO,4400.261
1/14/2025 9:00:00 AM,1/14/2025 4:00:00 AM,RTO,4261.663
1/14/2025 10:00:00 AM,1/14/2025 5:00:00 AM,RTO,4803.999
1/14/2025 11:00:00 AM,1/14/2025 6:00:00 AM,RTO,5309.088
1/14/2025 12:00:00 PM,1/14/2025 7:00:00 AM,RTO,6034.444
1/14/2025 1:00:00 PM,1/14/2025 8:00:00 AM,RTO,6806.861
1/14/2025 2:00:00 PM,1/14/2025 9:00:00 AM,RTO,7571.949
1/14/2025 3:00:00 PM,1/14/2025 10:00:00 AM,RTO,7763.021
1/14/2025 4:00:00 PM,1/14/2025 11:00:00 AM,RTO,7701.701
1/14/2025 5:00:00 PM,1/14/2025 12:00:00 PM,RTO,7466.460
1/14/2025 6:00:00 PM,1/14/2025 1:00:00 PM,RTO,7427.860
1/14/2025 7:00:00 PM,1/14/2025 2:00:00 PM,RTO,7241.509
1/14/2025 8:00:00 PM,1/14/2025 3:00:00 PM,RTO,6252.790
1/14/2025 9:00:00 PM,1/14/2025 4:00:00 PM,RTO,5049.171
1/14/2025 10:00:00 PM,1/14/2025 5:00:00 PM,RTO,4325.281
1/14/2025 11:00:00 PM,1/14/2025 6:00:00 PM,RTO,4119.046
1/15/2025 12:00:00 AM,1/14/2025 7:00:00 PM,RTO,4238.525
1/15/2025 1:00:00 AM,1/14/2025 8:00:00 PM,RTO,4526.261
1/15/2025 2:00:00 AM,1/14/2025 9:00:00 PM,RTO,4713.404
1/15/2025 3:00:00 AM,1/14/2025 10:00:00 PM,RTO,4760.759
1/15/2025 4:00:00 AM,1/14/2025 11:00:00 PM,RTO,4611.935
1/15/2025 5:00:00 AM,1/15/2025 12:00:00 AM,RTO,4299.416
1/15/2025 6:00:00 AM,1/15/2025 1:00:00 AM,RTO,3763.790
1/15/2025 7:00:00 AM,1/15/2025 2:00:00 AM,RTO,3219.560
